Espèces;MI;SF;SLA
Lm.LmSp;0.91;8.3398;9.16461538461538
Sp.LmSp;2.92;25.954;8.88835616438356
Lm.LmWc;0.98;6.9244;7.06571428571429
Wc.LmWc;0.03;0.1664;5.54666666666667
Lm.LmLt;1.17;9.5692;8.17880341880342
Lt.LmLt;2.22;18.1156;8.16018018018018
Sp.SpWc;3.07;25.9652;8.45771986970684
Wc.SpWc;0.06;0.222;3.7
Sp.SpLt;3.82;30.9159;8.09316753926702
Lt.SpLt;1.95;18.1169;9.29071794871795
Wc.WcLt;0.04;0.1834;4.585
Lt.WcLt;1.1;10.0176;9.10690909090909
Lm.LmSpWc;1.08;8.4923;7.86324074074074
Sp.LmSpWc;3.8;28.4651;7.49081578947368
Wc.LmSpWc;0.08;0.2543;3.17875
Lm.LmSpLt;0.8;8.2007;10.250875
Sp.LmSpLt;3.26;27.9949;8.58739263803681
Lt.LmSpLt;2.44;20.5236;8.41131147540984
Lm.LmWcLt;1.22;8.7474;7.17
Wc.LmWcLt;0.04;0.2477;6.1925
Lt.LmWcLt;1.61;11.8979;7.39
Sp.SpWcLt;3.75;31.0326;8.27536
Wc.SpWcLt;0.01;0.199;19.9
Lt.SpWcLt;2.15;17.2098;8.00455813953488
Lm.LmSpWcLt;0.82;8.7337;10.6508536585366
Sp.LmSpWcLt;2.84;27.1632;9.56450704225352
Wc.LmSpWcLt;0.05;0.1836;3.672
Lt.LmSpWcLt;1.72;17.9043;10.409476744186
