Culture,Bloc,Composition,Jours,Biomasse ,RYT,NE,CE,SE,RS,DFSF,DFSLA,DFfMI,DFfALL
J0B1LmSp,1,LmSp,1,76.75,1,-1.093097861,-4.26E-15,-1.093097861,2,7.2839899,0.28288212,1.07280096,7.3680007
J0B1LmWc,1,LmWc,1,81.65,1,-0.226321138,-4.53E-15,-0.226321138,2,5.3846369,2.58189671,0.64981868,6.0068935
J0B1LmLt,1,LmLt,1,70.5,1,-2.290711594,0,-2.290711594,2,0.1523039,0.36884081,0.09778742,0.4108557
J0B1SpWc,1,SpWc,1,72.5,1,-0.32651706,0,-0.32651706,2,12.7326103,2.29203853,1.73227375,13.052723
J0B1SpLt,1,SpLt,1,61.35,1,-0.186331481,0,-0.186331481,2,7.2272706,0.09012841,0.98745489,7.2949729
J0B1WcLt,1,WcLt,1,66.25,1,-1.073276065,0,-1.073276065,2,5.5042232,2.19155687,0.74470203,5.971095
J0B1LmSpWc,1,LmSpWc,1,80.00785714,1.04047619,2.369277573,3.11531746,-0.746039887,3,8.3289134,2.14947434,1.17084623,8.9875593
J0B1LmSpLt,1,LmSpLt,1,71.91857143,1.028571429,0.374672285,1.986666667,-1.611994381,3,6.4106125,0.31593763,0.91686287,6.4869875
J0B1LmWcLt,1,LmWcLt,1,73.57571429,1.004761905,-1.192458655,0.346666667,-1.539125321,3,4.8859069,2.17910526,0.61904174,5.3993437
J0B1SpWcLt,1,SpWcLt,1,67.65357143,1.011904762,0.103643261,0.794047619,-0.690404358,3,9.3119698,2.09839988,1.26856691,9.8185073
J0B1LmSpWcLt,1,LmSpWcLt,1,73.91428571,1.035714286,1.271338874,2.553571429,-1.282232555,4,6.9615417,1.80818592,0.97184018,7.4952065
J0B2LmSp,2,LmSp,1,78.65,1,-0.770544394,-4.37E-15,-0.770544394,2,7.2839899,0.28288212,1.07280096,7.3680007
J0B2LmWc,2,LmWc,1,83.7,1,-0.074552846,-4.65E-15,-0.074552846,2,5.3846369,2.58189671,0.64981868,6.0068935
J0B2LmLt,2,LmLt,1,76.15,1,-1.33129018,0,-1.33129018,2,0.1523039,0.36884081,0.09778742,0.4108557
J0B2SpWc,2,SpWc,1,77.25,1,-0.33651248,0,-0.33651248,2,12.7326103,2.29203853,1.73227375,13.052723
J0B2SpLt,2,SpLt,1,69.7,1,-0.074532592,0,-0.074532592,2,7.2272706,0.09012841,0.98745489,7.2949729
J0B2WcLt,2,WcLt,1,74.75,1,-0.72674747,0,-0.72674747,2,5.5042232,2.19155687,0.74470203,5.971095
J0B2LmSpWc,2,LmSpWc,1,83.00404762,1.04047619,2.699939928,3.232698413,-0.532758485,3,8.3289134,2.14947434,1.17084623,8.9875593
J0B2LmSpLt,2,LmSpLt,1,77.17071429,1.028571429,1.146014277,2.138095238,-0.992080961,3,6.4106125,0.31593763,0.91686287,6.4869875
