Polyculture;Block;Composition;Days;RYT;NE;CE;SE
J0B1LmSp;1;LmSp;0;1.00000000;-1.09309786;0.00000000;-1.09309786
J0B1LmWc;1;LmWc;0;1.00000000;-0.22632114;0.00000000;-0.22632114
J0B1LmLt;1;LmLt;0;1.00000000;-2.29071159;0.00000000;-2.29071159
J0B1SpWc;1;SpWc;0;1.00000000;-0.32651706;0.00000000;-0.32651706
J0B1SpLt;1;SpLt;0;1.00000000;-0.18633148;0.00000000;-0.18633148
J0B1WcLt;1;WcLt;0;1.00000000;-1.07327606;0.00000000;-1.07327606
J0B1LmSpWc;1;LmSpWc;0;1.04047619;2.36927757;3.11531746;-0.74603989
J0B1LmSpLt;1;LmSpLt;0;1.02857143;0.37467229;1.98666667;-1.61199438
J0B1LmWcLt;1;LmWcLt;0;1.00476190;-1.19245865;0.34666667;-1.53912532
J0B1SpWcLt;1;SpWcLt;0;1.01190476;0.10364326;0.79404762;-0.69040436
J0B1LmSpWcLt;1;LmSpWcLt;0;1.03571429;1.27133887;2.55357143;-1.28223255
J0B2LmSp;2;LmSp;0;1.00000000;-0.77054439;0.00000000;-0.77054439
J0B2LmWc;2;LmWc;0;1.00000000;-0.07455285;0.00000000;-0.07455285
J0B2LmLt;2;LmLt;0;1.00000000;-1.33129018;0.00000000;-1.33129018
J0B2SpWc;2;SpWc;0;1.00000000;-0.33651248;0.00000000;-0.33651248
J0B2SpLt;2;SpLt;0;1.00000000;-0.07453259;0.00000000;-0.07453259
J0B2WcLt;2;WcLt;0;1.00000000;-0.72674747;0.00000000;-0.72674747
J0B2LmSpWc;2;LmSpWc;0;1.04047619;2.69993993;3.23269841;-0.53275848
J0B2LmSpLt;2;LmSpLt;0;1.02857143;1.14601428;2.13809524;-0.99208096
J0B2LmWcLt;2;LmWcLt;0;1.00476190;-0.53439894;0.37238095;-0.90677989
J0B2SpWcLt;2;SpWcLt;0;1.01190476;0.37741388;0.87976190;-0.50234803
J0B2LmSpWcLt;2;LmSpWcLt;0;1.03571429;1.91486085;2.73928571;-0.82442487
J0B3LmSp;3;LmSp;0;1.00000000;-1.43954418;0.00000000;-1.43954418
J0B3LmWc;3;LmWc;0;1.00000000;-0.39672764;0.00000000;-0.39672764
J0B3LmLt;3;LmLt;0;1.00000000;-1.36847706;0.00000000;-1.36847706
J0B3SpWc;3;SpWc;0;1.00000000;-0.30652622;0.00000000;-0.30652622
J0B3SpLt;3;SpLt;0;1.00000000;0.08496716;0.00000000;0.08496716
J0B3WcLt;3;WcLt;0;1.00000000;-0.16845140;0.00000000;-0.16845140
J0B3LmSpWc;3;LmSpWc;0;1.04047619;2.06523914;3.03976190;-0.97452277
J0B3LmSpLt;3;LmSpLt;0;1.02857143;0.82817902;2.11238095;-1.28420193
J0B3LmWcLt;3;LmWcLt;0;1.00476190;-0.49640912;0.36666667;-0.86307578
J0B3SpWcLt;3;SpWcLt;0;1.01190476;0.63558184;0.82103175;-0.18544990
J0B3LmSpWcLt;3;LmSpWcLt;0;1.03571429;1.69517303;2.63392857;-0.93875554
J20B1LmSp;1;LmSp;20;0.96161269;-40.64091596;-40.65024121;0.00932524
J20B1LmWc;1;LmWc;20;0.95243076;-53.72048780;-50.51377222;-3.20671558
J20B1LmLt;1;LmLt;20;1.37277618;317.95573044;227.69168957;90.26404087
J20B1SpWc;1;SpWc;20;1.01168663;11.35342340;11.29571331;0.05771009
J20B1SpLt;1;SpLt;20;1.54697805;355.88928752;281.93983829;73.94944923
J20B1WcLt;1;WcLt;20;1.63524603;380.07804189;329.31154151;50.76650038
J20B1LmSpWc;1;LmSpWc;20;0.97195241;-32.72657882;-28.86470467;-3.86187415
J20B1LmSpLt;1;LmSpLt;20;1.20036437;92.74288379;145.94541039;-53.20252660
J20B1LmWcLt;1;LmWcLt;20;1.17536181;190.49357234;128.07841889;62.41515345
J20B1SpWcLt;1;SpWcLt;20;1.37088848;277.99433196;247.30843720;30.68589476
J20B1LmSpWcLt;1;LmSpWcLt;20;1.16718615;122.19712078;131.85553443;-9.65841366
J20B2LmSp;2;LmSp;20;1.00512960;-1.01000216;5.14626747;-6.15626963
J20B2LmWc;2;LmWc;20;0.99079128;4.46058943;-9.95693008;14.41751951
J20B2LmLt;2;LmLt;20;1.33288073;185.76222567;203.73965255;-17.97742688
J20B2SpWc;2;SpWc;20;1.01442796;8.90238150;13.06884489;-4.16646339
J20B2SpLt;2;SpLt;20;1.24559498;169.23713997;107.22676815;62.01037182
J20B2WcLt;2;WcLt;20;1.44340698;223.63577312;228.17723276;-4.54145963
J20B2LmSpWc;2;LmSpWc;20;0.97393521;4.28751981;-25.98050896;30.26802878
J20B2LmSpLt;2;LmSpLt;20;1.30764411;134.81273239;210.41831976;-75.60558737
J20B2LmWcLt;2;LmWcLt;20;1.30689694;149.32379725;225.86592024;-76.54212300
J20B2SpWcLt;2;SpWcLt;20;1.55772226;307.52698213;345.23007702;-37.70309489
J20B2LmSpWcLt;2;LmSpWcLt;20;1.18009135;122.92164371;136.67583014;-13.75418643
J20B3LmSp;3;LmSp;20;1.06289578;76.01587816;53.93313162;22.08274654
J20B3LmWc;3;LmWc;20;1.10850350;101.87928862;101.98786406;-0.10857544
J20B3LmLt;3;LmLt;20;1.66177017;393.03003769;329.72698852;63.30304917
J20B3SpWc;3;SpWc;20;1.06106270;52.95585070;52.39485394;0.56099676
J20B3SpLt;3;SpLt;20;1.15441477;246.83966650;64.29059081;182.54907569
J20B3WcLt;3;WcLt;20;1.35732363;260.28286656;178.23302566;82.04984090
J20B3LmSpWc;3;LmSpWc;20;1.10843732;98.19458572;95.98509922;2.20948650
J20B3LmSpLt;3;LmSpLt;20;1.40881585;275.34793741;241.48752539;33.86041203
J20B3LmWcLt;3;LmWcLt;20;1.24968086;220.93655889;161.21060814;59.72595076
J20B3SpWcLt;3;SpWcLt;20;1.23752873;153.07996992;140.39531390;12.68465602
J20B3LmSpWcLt;3;LmSpWcLt;20;1.20878731;213.78085972;141.58911314;72.19174657
J40B1LmSp;1;LmSp;40;0.95277645;-57.02009073;-89.46265114;32.44256040
J40B1LmWc;1;LmWc;40;0.90654293;-192.29997967;-194.38603479;2.08605512
J40B1LmLt;1;LmLt;40;1.49845325;891.43952560;548.67241176;342.76711384
J40B1SpWc;1;SpWc;40;0.96623062;-93.56100298;-63.68905776;-29.87194522
J40B1SpLt;1;SpLt;40;1.41213384;663.83739262;373.72296807;290.11442456
J40B1WcLt;1;WcLt;40;1.26517286;819.54422217;289.64831013;529.89591204
J40B1LmSpWc;1;LmSpWc;40;0.83028987;-320.35713025;-331.52308596;11.16595572
J40B1LmSpLt;1;LmSpLt;40;1.19104179;395.73094186;248.48168731;147.24925455
J40B1LmWcLt;1;LmWcLt;40;1.19008931;420.44678094;270.75054136;149.69623958
J40B1SpWcLt;1;SpWcLt;40;1.08465582;299.53688157;109.63210265;189.90477892
J40B1LmSpWcLt;1;LmSpWcLt;40;1.34929356;530.85074006;521.62627127;9.22446879
J40B2LmSp;2;LmSp;40;1.02601574;78.76208684;46.58508927;32.17699758
J40B2LmWc;2;LmWc;40;1.01566467;29.68567073;31.51810251;-1.83243178
J40B2LmLt;2;LmLt;40;1.63873953;783.06982931;654.58027256;128.48955675
J40B2SpWc;2;SpWc;40;0.90999293;-139.25324021;-165.96402883;26.71078862
J40B2SpLt;2;SpLt;40;1.61027036;866.11768570;522.78810246;343.32958324
J40B2WcLt;2;WcLt;40;1.49743041;855.01934573;250.73165810;604.28768763
J40B2LmSpWc;2;LmSpWc;40;1.01086586;68.33191035;20.45171648;47.88019387
J40B2LmSpLt;2;LmSpLt;40;1.37057026;425.64578648;453.59035455;-27.94456807
J40B2LmWcLt;2;LmWcLt;40;1.24722372;571.31374298;339.10029083;232.21345215
J40B2SpWcLt;2;SpWcLt;40;1.11620948;404.55624495;146.36971100;258.18653395
J40B2LmSpWcLt;2;LmSpWcLt;40;1.24511131;463.53081298;351.57541316;111.95539981
J40B3LmSp;3;LmSp;40;1.10326611;232.26219486;193.66010376;38.60209110
J40B3LmWc;3;LmWc;40;0.98530708;-26.33857724;-31.06376581;4.72518858
J40B3LmLt;3;LmLt;40;1.73125833;724.30254932;799.99661015;-75.69406082
J40B3SpWc;3;SpWc;40;0.91104704;-90.26604076;-171.09656393;80.83052317
J40B3SpLt;3;SpLt;40;1.51838256;641.65558363;468.22905144;173.42653219
J40B3WcLt;3;WcLt;40;1.23951898;884.19764651;273.55462946;610.64301705
J40B3LmSpWc;3;LmSpWc;40;0.90289662;-133.60637682;-191.39076198;57.78438517
J40B3LmSpLt;3;LmSpLt;40;1.26392357;376.73901586;340.69013443;36.04888143
J40B3LmWcLt;3;LmWcLt;40;1.34724294;491.63318505;503.53698835;-11.90380331
J40B3SpWcLt;3;SpWcLt;40;1.13617376;399.50266005;180.14880391;219.35385614
J40B3LmSpWcLt;3;LmSpWcLt;40;1.24243963;449.58487162;365.77472336;83.81014826
J60B1LmSp;1;LmSp;60;0.92288921;-79.82382804;-209.35966025;129.53583221
J60B1LmWc;1;LmWc;60;0.96507946;-105.03597561;-111.34413174;6.30815613
J60B1LmLt;1;LmLt;60;1.83170853;955.75681667;1420.22549354;-464.46867687
J60B1SpWc;1;SpWc;60;0.84677266;-402.09887795;-408.43514479;6.33626684
J60B1SpLt;1;SpLt;60;2.06267532;1031.61485599;1258.89832143;-227.28346544
J60B1WcLt;1;WcLt;60;1.29137398;1358.75161214;483.12719029;875.62442185
J60B1LmSpWc;1;LmSpWc;60;1.00567814;32.11871233;16.21884195;15.89987038
J60B1LmSpLt;1;LmSpLt;60;1.68860884;584.10638491;1287.07877412;-702.97238921
J60B1LmWcLt;1;LmWcLt;60;1.12232766;430.77787043;267.25331900;163.52455143
J60B1SpWcLt;1;SpWcLt;60;1.41029899;654.44697181;753.34997167;-98.90299987
J60B1LmSpWcLt;1;LmSpWcLt;60;1.26093740;468.35094416;570.55919898;-102.20825482
J60B2LmSp;2;LmSp;60;1.03742542;205.86612659;105.00074889;100.86537770
J60B2LmWc;2;LmWc;60;0.95092630;-161.06093496;-162.18366615;1.12273119
J60B2LmLt;2;LmLt;60;2.02063569;1100.15553092;1754.01346154;-653.85793061
J60B2SpWc;2;SpWc;60;0.92524431;-181.77142203;-209.36826895;27.59684692
J60B2SpLt;2;SpLt;60;2.45259312;1441.34173825;1763.95645216;-322.61471391
J60B2WcLt;2;WcLt;60;1.27433955;1277.25121205;470.12196350;807.12924855
J60B2LmSpWc;2;LmSpWc;60;0.94107859;-15.82357528;-175.02014334;159.19656806
J60B2LmSpLt;2;LmSpLt;60;1.66974686;647.13854640;1281.11411844;-633.97557204
J60B2LmWcLt;2;LmWcLt;60;1.52633053;778.12418425;1181.98047101;-403.85628676
J60B2SpWcLt;2;SpWcLt;60;1.18523250;441.04139804;353.71381433;87.32758371
J60B2LmSpWcLt;2;LmSpWcLt;60;1.12595019;414.55177303;284.60019302;129.95158001
J60B3LmSp;3;LmSp;60;0.93381595;-149.01775762;-183.69383183;34.67607422
J60B3LmWc;3;LmWc;60;0.82241421;-587.96502033;-578.67218266;-9.29283766
J60B3LmLt;3;LmLt;60;2.08326762;1060.20891155;1703.76330942;-643.55439787
J60B3SpWc;3;SpWc;60;0.81880709;-575.73858484;-542.31943486;-33.41914998
J60B3SpLt;3;SpLt;60;2.16839914;983.54386054;1527.44819268;-543.90433215
J60B3WcLt;3;WcLt;60;1.17000437;1024.98317251;304.36732810;720.61584441
J60B3LmSpWc;3;LmSpWc;60;0.99596228;-108.49730743;-12.14964364;-96.34766378
J60B3LmSpLt;3;LmSpLt;60;2.29162590;897.78405248;2434.97315121;-1537.18909874
J60B3LmWcLt;3;LmWcLt;60;1.34437591;408.75068712;760.11799629;-351.36730917
J60B3SpWcLt;3;SpWcLt;60;1.42362351;337.92554772;860.05456425;-522.12901652
J60B3LmSpWcLt;3;LmSpWcLt;60;1.22553493;54.34349838;514.87932421;-460.53582584
